OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20220519-1-NAKED	0	20220519_BOTTOM_1_0004_0001.mp4	41819	20220519_TOP_1_0004_0001.mp4	39283	71.62795	248	0.28056	-868.17226	897.63372	-2142.82856	3.78336	4.08278	9.21092	3.45408	2480.15799	30.67682	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220519-1-NAKED	1	20220519_BOTTOM_1_0004_0001.mp4	42847	20220519_TOP_1_0004_0001.mp4	40311	71.91379	248	0.56640	896.76826	1986.25446	-3481.93555	5.77285	12.82859	21.91025	7.68371	4107.70925	32.60283	Ostraciidae		spp		1	AD	Passing			
20220519-1-NAKED	45	20220519_BOTTOM_1_0005_0001.mp4	40759	20220519_TOP_1_0005_0001.mp4	38223	91.33319	224	2.50528	1843.64117	1005.37403	-6332.34966	21.79062	12.43786	75.08839	0.03272	6671.46475	18.41515	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220519-1-NAKED	47	20220519_BOTTOM_1_0006_0001.mp4	16393	20220519_TOP_1_0006_0001.mp4	13857	104.55806	232	1.30241	-265.93953	808.85886	-2863.31450	2.02690	4.98516	16.36499	2.59489	2987.23056	17.14536	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	48	20220519_BOTTOM_1_0006_0001.mp4	16393	20220519_TOP_1_0006_0001.mp4	13857	104.55806	232	1.30241	-400.02704	1392.51036	-2648.06959	2.40557	7.55119	13.88148	0.57928	3018.50614	29.27512	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	49	20220519_BOTTOM_1_0006_0001.mp4	16393	20220519_TOP_1_0006_0001.mp4	13857	104.55806	232	1.30241	-467.34942	1445.25841	-2413.52648	2.44502	7.06853	11.44748	0.18948	2851.71833	32.76908	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	50	20220519_BOTTOM_1_0006_0001.mp4	19425	20220519_TOP_1_0006_0001.mp4	16889	105.40113	232	2.14548	-772.63511	871.90857	-2000.87482	3.16931	3.70654	8.03048	0.30723	2315.31631	30.67179	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
20220519-1-NAKED	52	20220519_BOTTOM_1_0006_0001.mp4	21190	20220519_TOP_1_0006_0001.mp4	18654	105.89190	232	2.63624	-992.70798	102.41331	-2460.70963	5.08381	1.33202	12.56811	0.11507	2655.38124	22.09075	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220519-1-NAKED	56	20220519_BOTTOM_1_0006_0001.mp4	63341	20220519_TOP_1_0006_0001.mp4	60805	117.61222	211	0.27528	136.40834	-95.50455	-4651.75913	2.53988	2.31230	42.63821	1.51900	4654.73859	1.77078	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220519-1-NAKED	58	20220519_BOTTOM_1_0006_0001.mp4	66158	20220519_TOP_1_0006_0001.mp4	63622	118.39550	211	1.05856	-395.60875	1430.55377	-2956.64253	2.68504	8.40785	17.51004	0.33593	3308.28134	26.28872	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	59	20220519_BOTTOM_1_0006_0001.mp4	66158	20220519_TOP_1_0006_0001.mp4	63622	118.39550	211	1.05856	-478.59249	1595.71146	-3135.34683	3.29050	9.91944	19.68266	2.32616	3550.45709	27.61769	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	60	20220519_BOTTOM_1_0006_0001.mp4	66158	20220519_TOP_1_0006_0001.mp4	63622	118.39550	211	1.05856	-501.32673	1522.55982	-3234.59916	3.53503	9.79201	20.99596	3.20101	3610.00673	25.99893	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	61	20220519_BOTTOM_1_0006_0001.mp4	66158	20220519_TOP_1_0006_0001.mp4	63622	118.39550	211	1.05856	-522.01263	1552.35605	-3213.37231	3.62816	9.91533	20.72152	4.45059	3606.66994	26.64484	Serranidae	Pseudanthias	spp		1	AD	Passing			
20220519-1-NAKED	62	20220519_BOTTOM_1_0006_0001.mp4	68299	20220519_TOP_1_0006_0001.mp4	65763	118.99082	211	1.65387	948.60644	1958.29540	-3527.25493	6.15694	12.81151	22.46771	7.19545	4144.43029	32.22417	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220519-1-NAKED	64	20220519_BOTTOM_1_0007_0001.mp4	57697	20220519_TOP_1_0006_0001.mp4	17565	136.04285	226	1.45034	-929.82966	1672.76732	-4200.61793	8.00712	14.30469	35.46127	1.62136	4616.05077	24.61864	SUS	SUS	SUS	2	1	AD	Passing			
20220519-1-NAKED	66	20220519_BOTTOM_1_0007_0001.mp4	62798	20220519_TOP_1_0007_0001.mp4	60262	137.46121	226	2.86870	-660.45477	-115.95980	-1744.75354	2.46346	0.95101	6.34132	0.01279	1869.17417	20.99902	SUS	SUS	SUS	2	1	AD	Passing			
